WO Number,Type,Status,Created,Completed,Notes
WO-1001,PM,Completed,2024-01-05,2024-01-05,Replaced oil filter on hydraulic pump P-101
WO-1002,CM,Completed,2024-01-08,2024-01-08,Fixed
WO-1003,PM,Completed,2024-01-10,2024-01-10,Performed quarterly vibration analysis on motor M-205
WO-1004,Emergency,Completed,2024-01-12,2024-01-12,Done
WO-1005,PM,Completed,2024-01-15,2024-01-15,Calibrated temperature sensor TE-305 per procedure SOP-TE-01
WO-1006,CM,Completed,2024-01-18,2024-01-18,Repaired leak on valve V-402
WO-1007,Emergency,Completed,2024-01-20,2024-01-20,Complete
WO-1008,PM,Completed,2024-01-22,2024-01-22,Replaced bearing on conveyor drive CD-501
WO-1009,CM,Completed,2024-01-25,2024-01-25,Fixed cooling fan issue
WO-1010,PM,Completed,2024-01-28,2024-01-28,Lubricated gearbox GB-605 per maintenance schedule
WO-1011,Emergency,Completed,2024-02-01,2024-02-01,Repaired broken coupling on pump P-203
WO-1012,CM,Completed,2024-02-03,2024-02-03,Done
WO-1013,PM,Completed,2024-02-05,2024-02-05,Cleaned and inspected heat exchanger HX-801
WO-1014,Emergency,Completed,2024-02-08,2024-02-08,Fixed
WO-1015,CM,Completed,2024-02-10,2024-02-10,Replaced worn belt on blower BL-902
WO-1016,PM,Completed,2024-02-12,2024-02-12,Performed annual calibration on pressure transmitter PT-404
WO-1017,Emergency,Completed,2024-02-15,2024-02-15,Complete
WO-1018,CM,Completed,2024-02-18,2024-02-18,Repaired faulty limit switch on valve actuator VA-705
WO-1019,PM,Completed,2024-02-20,2024-02-20,Replaced air filter on compressor C-305
WO-1020,Emergency,Completed,2024-02-22,2024-02-22,Done
